BACR_Question_ID,BACR_Category,BACR_Section,BACR_Question_Short,BVF_Capability,BVF_Area,BVF_Sub_Area,Match_Score,Match_Method,Is_Profitability_Critical,Business_Functions
717,Outcomes,Analytic Capabilities,Optimize and Plan Assets,Capital Planning and Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.422,keyword_overlap,True,Operations; Asset Lifecycle Mgmt
718,Outcomes,Analytic Capabilities,Value-Based Asset Decommissioning,Fixed Assets Management,Finance & Peformance Management,Financial Accounting,0.405,keyword_overlap,False,Operations; Asset Lifecycle Mgmt
719,Outcomes,Analytic Capabilities,Capacity Planning,Capital Planning and Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.467,name_similarity,True,Operations; Asset Lifecycle Mgmt
720,Outcomes,Analytic Capabilities,Asset and Power Management,Asset & Liability Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.567,name_similarity,True,Operations; Asset Lifecycle Mgmt
721,Outcomes,Analytic Capabilities,Lifecycle Insight,Performance Management and KPIs,Finance & Peformance Management,Financial Planning & Controlling,0.467,keyword_overlap,True,Operations; Asset Lifecycle Mgmt
722,Outcomes,Analytic Capabilities,Product/Service Reliability,Profitability Modelling,Finance & Peformance Management,Financial Planning & Controlling,0.476,keyword_overlap,True,Operations; Asset Lifecycle Mgmt
723,Outcomes,Analytic Capabilities,Financial Reporting Regulation,Statutory Financial Reporting,Finance & Peformance Management,MIS & Reporting,0.624,name_similarity,True,Financial
724,Outcomes,Analytic Capabilities,Disclosure,BACR-only (no BVF match),,,0.0,none,False,Financial
725,Outcomes,Analytic Capabilities,Collusion and Fixing,Fraud and Money Laundering Likelihood Model,Risk Management & Regulation,Modelling and Predictiions,0.95,direct_mapping,False,Financial; Risks and Threats
726,Outcomes,Analytic Capabilities,Regulated Rate Controls,Third Party Settlement Controls,Finance & Peformance Management,Financial Accounting,0.422,name_similarity,False,Financial
727,Outcomes,Analytic Capabilities,Occupational Safety,Collection Strategy Model,Risk Management & Regulation,Modelling and Predictiions,0.3,keyword_overlap,True,Human Resources; Risks and Threats
728,Outcomes,Analytic Capabilities,Compensation and Benefit Rules,"Policy, Forensics and Underwriter Rules",Risk Management & Regulation,Risk Insight,0.332,name_similarity,False,Human Resources
729,Outcomes,Analytic Capabilities,Trade Rules Management,Liquidity Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.529,name_similarity,True,Operations
730,Outcomes,Analytic Capabilities,Sanctions,BACR-only (no BVF match),,,0.0,none,False,Operations
731,Outcomes,Analytic Capabilities,Restricted Goods,Credit Risk Expected Loss Model,Risk Management & Regulation,Modelling and Predictiions,0.321,name_similarity,True,Operations; Risks and Threats
732,Outcomes,Analytic Capabilities,Truth in Advertising,Statutory Financial Reporting,Finance & Peformance Management,MIS & Reporting,0.312,name_similarity,True,Operations; Marketing; Risks and Threats
733,Outcomes,Analytic Capabilities,Product/Service Performance,Performance Reporting,Finance & Peformance Management,MIS & Reporting,0.383,keyword_overlap,True,
734,Outcomes,Analytic Capabilities,Privacy Protections,Event Detection,Marketing and Customer Experience,Customer Insight,0.412,name_similarity,False,Customer; Marketing; Risks and Threats
735,Outcomes,Analytic Capabilities,Environmental Protection,BACR-only (no BVF match),,,0.0,none,False,Operations
736,Outcomes,Analytic Capabilities,Transaction Classification,Transaction Classification,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,True,Customer; Financial
737,Outcomes,Analytic Capabilities,Anti-Money Laundering,Fraud and Money Laundering Loss Modelling,Risk Management & Regulation,Modelling and Predictiions,0.492,name_similarity,False,Operations; Risks and Threats
738,Outcomes,Analytic Capabilities,Care Co-ordination,Financial Consolidation,Finance & Peformance Management,Financial Accounting,0.334,name_similarity,True,Customer; Operations
739,Outcomes,Analytic Capabilities,Care Management - manage care for a population of patients,Performance Management and KPIs,Finance & Peformance Management,Financial Planning & Controlling,0.313,keyword_overlap,True,
740,Outcomes,Analytic Capabilities,Provider Management,Performance Management and KPIs,Finance & Peformance Management,Financial Planning & Controlling,0.491,name_similarity,True,Supply Chain
741,Outcomes,Analytic Capabilities,Claims Management,Liquidity Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.581,name_similarity,True,Customer; Operations
742,Outcomes,Analytic Capabilities,Pharmacy Management,Liquidity Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.546,name_similarity,True,Customer; Operations
743,Outcomes,Analytic Capabilities,Contract Compliance Management,Liquidity Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.408,name_similarity,True,
744,Outcomes,Analytic Capabilities,Suppplier Collaboration,Risk Based Price Calculation,Risk Management & Regulation,Execution & Delivery,0.304,name_similarity,False,Financial; Supply Chain
745,Outcomes,Analytic Capabilities,Supplier Performance Management,Business Process Analytics & Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.95,direct_mapping,True,Financial; Supply Chain
746,Outcomes,Analytic Capabilities,Spend Analytics - improve margins through product,Business Process Analytics & Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.95,direct_mapping,True,Financial; Supply Chain
747,Outcomes,Analytic Capabilities,Global Spend Visibility,Regulatory Reporting and Information Sharing,Risk Management & Regulation,Reporting & BI,0.319,keyword_overlap,False,Financial; Supply Chain
748,Outcomes,Analytic Capabilities,Purchasing Optimisation,Pricing Analysis & Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.481,name_similarity,True,Financial; Supply Chain
749,Outcomes,Analytic Capabilities,Supplier Risk Management,Risk Appetite,Risk Management & Regulation,Risk Insight,0.573,keyword_overlap,True,Financial; Supply Chain; Risks and Threats
750,Outcomes,Analytic Capabilities,Forecasting (Short/Long Term),Performance Reporting,Finance & Peformance Management,MIS & Reporting,0.428,keyword_overlap,True,Customer; Financial; Supply Chain; Marketing
751,Outcomes,Analytic Capabilities,Event Management,Event Detection,Marketing and Customer Experience,Customer Insight,0.581,keyword_overlap,False,Customer; Product; Supply Chain; Marketing
752,Outcomes,Analytic Capabilities,Forecast Performance Managmeent,Channel Support & Engagement,Marketing and Customer Experience,Delivery of Insight to Channels,0.463,keyword_overlap,False,Customer; Product; Supply Chain; Marketing
753,Outcomes,Analytic Capabilities,Order Analysis,Pricing Analysis & Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.378,keyword_overlap,True,Financial; Supply Chain
754,Outcomes,Analytic Capabilities,Fulfilment,Customer Segmentation,Marketing and Customer Experience,Customer Insight,0.329,keyword_overlap,False,Financial; Supply Chain
755,Outcomes,Analytic Capabilities,Product Lifecycle Management,Liquidity Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.533,name_similarity,True,Product; Financial; Supply Chain
756,Outcomes,Analytic Capabilities,Sales & Operations Planning (S&OP),Sales Reporting,Finance & Peformance Management,MIS & Reporting,0.596,keyword_overlap,True,Product; Financial; Operations; Supply Chain
757,Outcomes,Analytic Capabilities,Supply Network Optimisation,Profitability Analytics and Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.448,name_similarity,True,Operations; Supply Chain
758,Outcomes,Analytic Capabilities,Distribution / Fulfillment Performance Analysis,Performance Reporting,Finance & Peformance Management,MIS & Reporting,0.453,keyword_overlap,True,Operations; Supply Chain
759,Outcomes,Analytic Capabilities,Lot / Batch Track and Trace,Financial Accounting / Accounting Hub,Finance & Peformance Management,Financial Accounting,0.412,keyword_overlap,True,Operations; Supply Chain
760,Outcomes,Analytic Capabilities,Shipment / Load Planning,Capital Planning and Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.408,keyword_overlap,True,Operations; Supply Chain
761,Outcomes,Analytic Capabilities,Availability / Lost Sales Analysis and Optimisation,Pricing Analysis & Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.544,name_similarity,True,Financial; Supply Chain
762,Outcomes,Analytic Capabilities,Supply Chain Visibility - Provides the end to end,Real Time Threat Detection,Risk Management & Regulation,Execution & Delivery,0.317,keyword_overlap,False,Product; Financial; Supply Chain
763,Outcomes,Analytic Capabilities,Order to Cash - Link Sales and Finance organisations,Profitability Analytics and Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.425,keyword_overlap,True,Financial; Supply Chain
764,Outcomes,Analytic Capabilities,Supply Chain Financial Performance Analysis,Performance Reporting,Finance & Peformance Management,MIS & Reporting,0.463,keyword_overlap,True,Financial; Supply Chain
765,Outcomes,Analytic Capabilities,Quality Management,Business Process Analytics & Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.95,direct_mapping,True,Operations
766,Outcomes,Analytic Capabilities,Manufacturing Performance,Performance Reporting,Finance & Peformance Management,MIS & Reporting,0.491,keyword_overlap,True,Operations
767,Outcomes,Analytic Capabilities,Global Plant Visibility,Financial Accounting / Accounting Hub,Finance & Peformance Management,Financial Accounting,0.32,keyword_overlap,True,Operations
768,Outcomes,Analytic Capabilities,Fleet Management - Locate,Liquidity Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.531,name_similarity,True,Operations
769,Outcomes,Analytic Capabilities,Logistics Capacity Analysis,Pricing Analysis & Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.366,keyword_overlap,True,Operations; Supply Chain
770,Outcomes,Analytic Capabilities,Logistics Efficiency Analysis -Analysis,Pricing Analysis & Optimisation,Finance & Peformance Management,Financial Planning & Controlling,0.383,keyword_overlap,True,Operations; Supply Chain
771,Outcomes,Analytic Capabilities,Freight / Carrier Analysis,Performance Reporting,Finance & Peformance Management,MIS & Reporting,0.485,keyword_overlap,True,Financial; Operations; Supply Chain
