Data_Requirement,FSDM_Subject_Area,Capabilities_Using,Capability_Count
Master & Reference Data - product,Product,"Predictive Models; Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Rapid Prototyping supports Test & Learn; Marketing Attribution MI across all channels; Strategy Monitoring; Attrition Root Cause Analysis MI; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Operational Risk Capital and OPVaR; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Financial Consolidation; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Interest Rate Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",80
Master & Reference Data - FTP rates,Product,"Big Data Analytics; Application and New Business Written; Capital Consumption; Credit Risk Based Pricing Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Regulatory Reporting and Information Sharing; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Profitability Modelling; Profitability Analytics and Optimisation; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Interest Rate Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",37
Master & Reference Data - exchange rates,Product,"Big Data Analytics; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Operational Risk Capital and OPVaR; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Financial Consolidation; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Profitability Modelling; Profitability Analytics and Optimisation; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",63
"Product Revenue, Cost & Margin",Product,"Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Campaign ROI Reporting by Channel; NPS MI & Drill Down; Strategy Monitoring; Attrition Root Cause Analysis MI; Application and New Business Written; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Operational Risk Capital and OPVaR; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",33
Product NPV's,Product,"Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Campaign Business Cases; Rapid Prototyping supports Test & Learn; Next Best Action Arbitration; Channel Support & Engagement; Campaign ROI Reporting by Channel; Strategy Monitoring; Attrition Root Cause Analysis MI; Application and New Business Written; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Operational Risk Capital and OPVaR; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Performance Reporting; Exception Reporting; Executive Dashboards",31
External Data - market interest rates,Product,"Big Data Analytics; Application and New Business Written; Capital Consumption; Credit Risk Based Pricing Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Regulatory Reporting and Information Sharing; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Tax Management & Optimisation; Future / Lifetime Value; Financial Budgeting, Planning & Forecasting; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Interest Rate Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",35
"External Data - market prices (E.g. equities, bonds, commodities)",Product,"Big Data Analytics; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Regulatory Reporting and Information Sharing; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Tax Management & Optimisation; Future / Lifetime Value; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",43
External Data - Competitor Product & Pricing,Party & Product,"Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Campaign Business Cases; Personalisation; Application and New Business Written; Credit Risk Based Pricing Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Future / Lifetime Value; Profitability Analytics and Optimisation; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",24
Account / Policy / Service Holdings,Agreement,"Transaction Classification; Predictive Models; Event Detection; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Scope of Contact; Customer Contact Policy; Campaign Business Cases; Personalisation; Regulatory & Audit Compliance; Real Time Omni-Channel  Integration; Direct Customer Access to Information Products; Strategy Monitoring; Attrition Root Cause Analysis MI; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Operational Risk Capital and OPVaR; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Third Party Settlement Controls; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",86
Account / Policy / Service Detail,Agreement,"Predictive Models; Event Detection; Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Scope of Contact; Regulatory & Audit Compliance; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Direct Customer Access to Information Products; Attrition Root Cause Analysis MI; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Operational Risk Capital and OPVaR; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Third Party Settlement Controls; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",82
Account Status (open closed active / domant /inactive / closure reason ),Agreement,"Transaction Classification; Predictive Models; Event Detection; Customer Value; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Scope of Contact; Omni Channel Campaign Management; Personalisation; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Channel Support & Engagement; Direct Customer Access to Information Products; Marketing Attribution MI across all channels; Strategy Monitoring; Attrition Root Cause Analysis MI; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Operational Risk Capital and OPVaR; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",87
Account Terms & Conditions,Agreement,"Customer, Product & Channel  insight; Conduct  Risk Monitoring; Big Data Analytics; Customer Managed Relationships; Strategy Monitoring; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",67
Account Feature Usage,Agreement,"Predictive Models; Event Detection; Customer, Product & Channel  insight; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Personalisation; Next Best Action Arbitration; Direct Customer Access to Information Products; Marketing Attribution MI across all channels; Strategy Monitoring; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Cashflow Generation; FX & Trading Book Management; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",59
"Application Data (New Customer, New Product)",Agreement,"Event Detection; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Insight Led Customer Strategy; Big Data Analytics; Regulatory & Audit Compliance; Channel Coverage; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Lead & Contact Management; Single Interaction View of Customer; Channel Support & Engagement; Marketing Attribution MI across all channels; Strategy Monitoring; Application and New Business Written; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",57
Coverage (insurance),Agreement,"Big Data Analytics; Marketing Attribution MI across all channels; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Tax Management & Optimisation; Fixed Assets Management; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",56
Account Balances,Agreement,"Predictive Models; Event Detection; Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Next Best Action Arbitration; Direct Customer Access to Information Products; Marketing Attribution MI across all channels; Strategy Monitoring; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Third Party Settlement Controls; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",77
Investment Value,Agreement,"Customer Value; Customer, Product & Channel  insight; Big Data Analytics; Direct Customer Access to Information Products; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Regulatory Reporting and Information Sharing; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",48
